,INTEREVENT TIME
1,7.580555555555556
2,4.305555555555555
3,0.3277777777777778
4,0.20555555555555555
5,0.5361111111111111
6,0.4361111111111111
7,0.9805555555555555
8,0.075
9,2.1416666666666666
10,2.4833333333333334
11,0.6916666666666667
13,0.008333333333333333
14,1.5944444444444446
15,1.8972222222222221
16,0.5333333333333333
21,1.2861111111111112
23,1.663888888888889
24,0.10833333333333334
25,0.6666666666666666
26,1.4722222222222223
27,0.05555555555555555
29,0.3527777777777778
31,0.6638888888888889
33,0.33055555555555555
34,0.5361111111111111
36,0.4222222222222222
37,0.6694444444444444
38,0.05555555555555555
39,0.019444444444444445
40,0.22777777777777777
41,4.438888888888889
42,0.18888888888888888
43,0.002777777777777778
44,0.12222222222222222
46,2.0305555555555554
47,0.6833333333333333
48,0.11944444444444445
49,3.047222222222222
50,0.12777777777777777
51,0.7666666666666667
52,0.4305555555555556
53,0.3194444444444444
55,1.2472222222222222
56,0.19444444444444445
57,1.4777777777777779
58,0.6611111111111111
59,0.6833333333333333
60,0.044444444444444446
61,0.15555555555555556
63,0.8916666666666667
64,0.9527777777777777
65,0.17222222222222222
66,0.16111111111111112
68,2.4166666666666665
69,0.6305555555555555
70,1.3138888888888889
71,1.4666666666666666
72,0.7027777777777777
73,0.3
75,0.20555555555555555
76,0.25555555555555554
77,0.2111111111111111
78,0.7222222222222222
79,1.675
80,0.10833333333333334
81,0.11666666666666667
82,0.1388888888888889
83,2.286111111111111
84,0.9388888888888889
85,0.1527777777777778
86,0.13055555555555556
87,0.175
88,0.07222222222222222
89,0.14722222222222223
92,1.8083333333333333
93,0.9055555555555556
94,0.21944444444444444
95,0.3138888888888889
96,0.09166666666666666
97,0.08333333333333333
98,0.06944444444444445
99,0.05555555555555555
100,0.041666666666666664
102,0.7388888888888889
104,0.21388888888888888
105,0.5166666666666667
106,0.725
107,0.21666666666666667
108,0.49166666666666664
109,0.6055555555555555
110,0.11666666666666667
111,0.44166666666666665
112,0.32222222222222224
113,0.4027777777777778
114,0.09444444444444444
115,0.030555555555555555
116,0.08888888888888889
117,0.8277777777777777
120,1.7055555555555555
121,0.030555555555555555
122,0.3861111111111111
123,0.2
124,0.2
125,0.9472222222222222
126,0.25
127,0.45
128,0.016666666666666666
129,0.33055555555555555
130,0.5583333333333333
131,0.21944444444444444
133,0.48333333333333334
134,0.8611111111111112
135,0.06388888888888888
136,0.8916666666666667
137,0.37777777777777777
138,0.9361111111111111
139,0.5166666666666667
140,0.5777777777777777
141,0.16111111111111112
142,0.08611111111111111
143,0.12222222222222222
144,0.18333333333333332
145,0.33055555555555555
146,0.09722222222222222
150,0.7111111111111111
151,0.65
152,0.11944444444444445
153,0.5444444444444444
154,0.07777777777777778
155,0.39444444444444443
157,0.28055555555555556
160,0.5055555555555555
162,0.9444444444444444
163,0.08333333333333333
164,0.008333333333333333
165,0.9361111111111111
166,0.4388888888888889
167,0.43333333333333335
168,0.6222222222222222
169,1.3888888888888888
170,0.35833333333333334
171,0.46111111111111114
175,0.24722222222222223
177,0.15
182,1.2416666666666667
183,0.4527777777777778
185,0.33055555555555555
186,0.025
188,0.225
189,1.1
191,0.8555555555555555
211,0.008333333333333333
215,0.008333333333333333
231,0.275
238,0.08333333333333333
243,0.20833333333333334
245,0.21944444444444444
250,0.5944444444444444
251,0.008333333333333333
252,0.11666666666666667
254,0.05555555555555555
